Ticker,year,month,H_value,Price
AAPL,2010,1,0.41845600739128547,192.063
AAPL,2010,2,0.11547079253302954,204.62
AAPL,2010,3,0.3413559422833681,235.0
AAPL,2010,4,0.4199428868339307,261.09
AAPL,2010,5,0.042454070279418825,256.88
AAPL,2010,6,0.1683979052530908,251.53
AAPL,2010,7,0.25952993666140955,257.25
AAPL,2010,8,0.262152539339524,243.10001
AAPL,2010,9,0.3101561100444356,283.75
AAPL,2010,10,0.3151385573560587,300.98001
AAPL,2010,11,0.08643325113622757,311.14999
AAPL,2010,12,0.21390757130522878,322.56
AAPL,2011,1,0.1702743705231177,339.32001
AAPL,2011,2,-0.01013147111037053,353.20999
AAPL,2011,3,-0.04175496146562372,348.50751
AAPL,2011,4,0.14303134131212308,350.13
AAPL,2011,5,0.07097895770761856,347.82999
AAPL,2011,6,0.04038081036671159,335.67001
AAPL,2011,7,0.5150421265509332,390.48001
AAPL,2011,8,-0.011810190756153225,384.82999
AAPL,2011,9,0.07231750621241377,381.32001
AAPL,2011,10,0.08604522381611787,404.78
AAPL,2011,11,0.033068517854465594,382.20001
AAPL,2011,12,0.26688742725806325,405.0
AAPL,2012,1,0.21523087074624275,456.48001
AAPL,2012,2,0.44519330299258675,542.44
AAPL,2012,3,0.43642703782957976,599.54999
AAPL,2012,4,0.29266590156737865,583.97998
AAPL,2012,5,0.12716604015161836,577.72998
AAPL,2012,6,0.13463525721508532,584.0
AAPL,2012,7,0.23612702713118722,610.76001
AAPL,2012,8,0.4765922546423652,665.23999
AAPL,2012,9,0.28210573916307036,667.10498
AAPL,2012,10,0.0006242316838806943,595.32001
AAPL,2012,11,0.22994081601950608,585.28003
AAPL,2012,12,0.024373189559605483,532.17291
AAPL,2013,1,0.291005970267439,455.48999
AAPL,2013,2,0.3666663983343992,441.39999
AAPL,2013,3,0.4314130806498878,442.66
AAPL,2013,4,0.21141662320194837,442.78
AAPL,2013,5,0.010016253365097722,449.73499
AAPL,2013,6,-0.034565548381368605,396.53
AAPL,2013,7,0.04935468991742202,452.53
AAPL,2013,8,0.03236160366340247,487.216
AAPL,2013,9,0.04277266767622905,476.75
AAPL,2013,10,0.011967624190680305,522.70203
AAPL,2013,11,-0.1371882773302761,556.07001
AAPL,2013,12,0.1955656201202252,561.02002
AAPL,2014,1,0.0901861086301443,500.60001
AAPL,2014,2,-0.029723578019086514,526.23999
AAPL,2014,3,-0.04119145993868022,536.73999
AAPL,2014,4,-0.10319686657499291,590.09003
AAPL,2014,5,0.11785313635615485,633.0
AAPL,2014,6,0.12964546324042464,92.93
AAPL,2014,7,0.20958815133424943,95.6
AAPL,2014,8,-0.14105046351886297,102.5
AAPL,2014,9,-0.11520271288026329,100.75
AAPL,2014,10,-0.041371783064576,108.0
AAPL,2014,11,0.04507155444898128,118.93
AAPL,2014,12,-0.17837307186947168,110.38
AAPL,2015,1,0.015307514472905393,117.16
AAPL,2015,2,0.14080980202441762,128.46001
AAPL,2015,3,-0.08442977325373534,124.43
AAPL,2015,4,-0.10469947436793865,125.15
AAPL,2015,5,-0.0498162693488319,130.28
AAPL,2015,6,-0.08779063882726491,125.425
AAPL,2015,7,0.16789130791083207,121.3
