date,Realized_H,ticker,price
2010-01-29,-0.021801314757886228,AAPL,192.063
2010-02-26,-0.034087795363499915,AAPL,204.62
2010-03-31,0.0840814208450474,AAPL,235.0
2010-04-30,0.06212671991938005,AAPL,261.09
2010-05-28,11.20307243713615,AAPL,256.88
2010-06-30,0.01878070320216207,AAPL,251.53
2010-07-30,0.0339044226237734,AAPL,257.25
2010-08-31,0.031265087679344654,AAPL,243.10001
2010-09-30,0.12545223116572243,AAPL,283.75
2010-10-29,0.045466901839157414,AAPL,300.98001
2010-11-30,0.07548421799902333,AAPL,311.14999
2010-12-31,0.01378911191034169,AAPL,322.56
2011-01-31,0.1115249174392251,AAPL,339.32001
2011-02-28,0.08669334874724088,AAPL,353.20999
2011-03-31,0.04640444720002263,AAPL,348.50751
2011-04-29,0.04150627416572329,AAPL,350.13
2011-05-31,0.05416709592057514,AAPL,347.82999
2011-06-30,0.03507432582356071,AAPL,335.67001
2011-07-29,0.04093489467030849,AAPL,390.48001
2011-08-31,0.13062874700564558,AAPL,384.82999
2011-09-30,0.016416936076908042,AAPL,381.32001
2011-10-31,0.01317021579989473,AAPL,404.78
2011-11-30,0.02507805939098878,AAPL,382.20001
2011-12-30,0.022001892012653512,AAPL,405.0
2012-01-31,0.041296506350898966,AAPL,456.48001
2012-02-29,0.016314304259066888,AAPL,542.44
2012-03-30,0.12478224332044799,AAPL,599.54999
2012-04-30,0.02909959835981331,AAPL,583.97998
2012-05-31,0.04125773701161699,AAPL,577.72998
2012-06-29,0.07862852700806233,AAPL,584.0
2012-07-31,0.07001588481473706,AAPL,610.76001
2012-08-31,0.06496849066891056,AAPL,665.23999
2012-09-28,0.15776276282583054,AAPL,667.10498
2012-10-31,0.06930087697623549,AAPL,595.32001
2012-11-30,0.012781597775456373,AAPL,585.28003
2012-12-31,0.02580408618611589,AAPL,532.17291
2013-01-31,0.06255704340928743,AAPL,455.48999
2013-02-28,0.05989078600020477,AAPL,441.39999
2013-03-28,0.02891565252927182,AAPL,442.66
2013-04-30,0.015320589634712563,AAPL,442.78
2013-05-31,0.03382112971505224,AAPL,449.73499
2013-06-28,0.025670456474353655,AAPL,396.53
2013-07-31,0.02339754552571477,AAPL,452.53
2013-08-30,0.0901337208852082,AAPL,487.216
2013-09-30,0.07663795442859461,AAPL,476.75
2013-10-31,0.08113368826367104,AAPL,522.70203
2013-11-29,0.03241506242040157,AAPL,556.07001
2013-12-31,0.06930367168132828,AAPL,561.02002
2014-01-31,0.06099811292114117,AAPL,500.60001
2014-02-28,0.07212421233690125,AAPL,526.23999
2014-03-31,0.04123777222831376,AAPL,536.73999
2014-04-30,0.043998941925950136,AAPL,590.09003
2014-05-30,0.02614025078723323,AAPL,633.0
2014-06-30,0.0426315225153166,AAPL,92.93
2014-07-31,0.029001000613052285,AAPL,95.6
2014-08-29,0.02413929127729596,AAPL,102.5
2014-09-30,0.11015910012341212,AAPL,100.75
2014-10-31,0.01604984836275735,AAPL,108.0
2014-11-28,0.024103609196678484,AAPL,118.93
2014-12-31,0.08218622050924593,AAPL,110.38
2015-01-30,0.01128552125773643,AAPL,117.16
2015-02-27,0.03947416852890519,AAPL,128.46001
2015-03-31,0.023191951523633576,AAPL,124.43
