date,ticker,price,Realized_H
2010-01-29,ORCL,23.06,0.04982764518690752
2010-02-26,ORCL,24.65,0.005426598762470305
2010-03-31,ORCL,25.71,0.10872025845878469
2010-04-30,ORCL,25.8675,0.023035526638907886
2010-05-28,ORCL,22.57,7.055720312220361
2010-06-30,ORCL,21.46,0.019256491690540757
2010-07-30,ORCL,23.64,0.043367212704269804
2010-08-31,ORCL,21.845,0.0479037737724253
2010-09-30,ORCL,26.85,0.041321170631804
2010-10-29,ORCL,29.38,0.03116406035126016
2010-11-30,ORCL,27.045,0.055321389569657896
2010-12-31,ORCL,31.3,0.03864060003345424
2011-01-31,ORCL,32.03,0.0412878635526273
2011-02-28,ORCL,32.9,0.036631109611988066
2011-03-31,ORCL,33.4325,0.04565074880857747
2011-04-29,ORCL,35.96,0.013515520608501868
2011-05-31,ORCL,34.22,0.014512583376614976
2011-06-30,ORCL,32.91,0.0318452007902363
2011-07-29,ORCL,30.58,0.011173933463049356
2011-08-31,ORCL,28.07,0.08593094195887957
2011-09-30,ORCL,28.74,0.03316542879711601
2011-10-31,ORCL,32.77,0.0005777573970670441
2011-11-30,ORCL,31.35,0.03210581869279474
2011-12-30,ORCL,25.65,0.09861935348075009
2012-01-31,ORCL,28.21,0.040284519557561835
2012-02-29,ORCL,29.255,0.06994541221323469
2012-03-30,ORCL,29.16,0.042680263339886004
2012-04-30,ORCL,29.4,0.013041975730167406
2012-05-31,ORCL,26.47,0.035155979861067735
2012-06-29,ORCL,29.7,0.045671995539585175
2012-07-31,ORCL,30.2,0.0341605246682317
2012-08-31,ORCL,31.65,0.01715311473093477
2012-09-28,ORCL,31.46,0.06454815449195721
2012-10-31,ORCL,31.08,0.012917404946506405
2012-11-30,ORCL,32.175,0.014771155374546114
2012-12-31,ORCL,33.32,0.09019496349080736
2013-01-31,ORCL,35.51,0.01968083389008135
2013-02-28,ORCL,34.24,0.06000632291763907
2013-03-28,ORCL,32.33,0.07051954887773529
2013-04-30,ORCL,32.78,0.0053658675036503765
2013-05-31,ORCL,33.78,0.024199554589362612
2013-06-28,ORCL,30.71,0.06202262263892342
2013-07-31,ORCL,32.35,0.030153539342803504
2013-08-30,ORCL,31.86,0.030843172742297222
2013-09-30,ORCL,33.17,0.07296868676247827
2013-10-31,ORCL,33.5,0.02590695514668833
